17
	"IBOVESPA FECHAMENTO"	"Ptax - Dolar Venda"	"AMBEV PN(AMBV4)"	"ARACRUZ PNB (ARCZ6)"	"BRADESCO PN (BBDC4)"	"CEMIG PN (CMIG4)"	"COPEL PNB (CPLE6)"	"Sid. TUBARÃO (CSTB4)"	"ELETROBRÁS PNB (ELET6)"	"ITAÚ PN (ITAU4)"	"PÃO DE ACÚCAR PN (PCAR4)"	"SABESP ON (SBSP3)"	"TELEMAR PN (TNLP4)"	"TELESP CELULAR PN (TSPP4)"	"VALE DO RIO DOCE PNA (VALE5)"	"USIMINAS PNA (USIM5)"	"PETROBRÁS PN (PETR4)"
02/12/2001	16917	1981.3	0.513	2.83	0.01229	0.0341	0.0198	0.0235	0.03945	0.1805	0.0694	0.214	0.04627	0.01916	50	11.2	55.72
02/13/2001	17095	1980.3	0.50102	2.84	0.01234	0.0344	0.02	0.0238	0.0409	0.183	0.0691	0.217	0.04649	0.01985	50.2	11.35	57
02/14/2001	17120	1989.4	0.5059	2.77	0.01226	0.0345	0.0207	0.0241	0.04171	0.1855	0.069	0.21905	0.04709	0.02015	50.12	11.5	58.21
02/15/2001	16937	1981.2	0.496	2.79	0.01237	0.0338	0.01984	0.02351	0.0415	0.1855	0.06899	0.217	0.0467	0.0205	49.8	11.49	57.91
02/16/2001	16259	1994	0.499	2.67	0.01195	0.0318	0.0194	0.0225	0.03803	0.17605	0.0669	0.213	0.0453	0.01966	48	11.2	56.41
02/19/2001	16060	2002.7	0.505	2.65	0.01164	0.031	0.0189	0.02215	0.0375	0.176	0.06682	0.20651	0.04481	0.01963	47.8	11.1	55.65
02/20/2001	15910	2006.3	0.512	2.71	0.01175	0.03139	0.0192	0.022	0.0374	0.17295	0.0672	0.215	0.0442	0.01855	48.4	10.8	57
02/21/2001	15593	2024	0.50301	2.79	0.01191	0.0305	0.01826	0.02125	0.036	0.17002	0.0681	0.21305	0.04255	0.0176	48.2	10.6	55.85
02/22/2001	15910	2036.8	0.508	2.73	0.01178	0.0314	0.01905	0.022	0.037	0.1745	0.0695	0.2235	0.04298	0.0181	50.52	11.01	56
02/23/2001	16157	2043.6	0.515	2.7	0.0119	0.0322	0.0185	0.02244	0.037	0.17801	0.068	0.238	0.04435	0.01815	52	11.2	55.7
02/28/2001	15891	2045.2	0.5	2.7	0.0115	0.0307	0.0188	0.02111	0.0365	0.1705	0.0675	0.232	0.0443	0.01875	52.6	10.4	54.91
03/01/2001	16416	2042.8	0.51	2.88	0.0115	0.0313	0.01945	0.02197	0.039	0.17551	0.068	0.2386	0.0458	0.0184	52.2	11.1	55.9
